GEOID,heatrisk_class,City,Tree Canopy Class
06037241001,1,Green Meadows,0
06037241202,1,South Vermont,0
06037241202,1,South Vermont,0
06037241202,1,South Vermont,0
06037241202,1,South Vermont,0
06037241202,1,South Vermont,0
06037600304,1,Athens/Westmont,1
06037600304,1,Athens/Westmont,0
06037241120,1,Green Meadows,0
06037241120,1,Green Meadows,0
06037241120,1,Green Meadows,0
06037241120,1,Green Meadows,0
06037241110,0,Green Meadows,0
06037241110,0,Green Meadows,0
06037240800,1,Green Meadows,0
06037240800,1,Green Meadows,0
06037240800,1,Green Meadows,1
06037241201,1,South Vermont,0
06037241201,1,South Vermont,1
06037241201,1,South Vermont,0
06037240402,1,South Vermont,0
06037240402,1,South Vermont,0
06037240402,1,South Vermont,1
06037242000,1,Watts,1
06037242000,1,Watts,1
06037242000,1,Watts,1
06037535607,1,South Gate,0
06037242100,0,Watts,0
06037535606,0,South Gate,1
06037242300,1,Watts,1
06037242300,1,Watts,1
06037242300,1,Watts,1
06037535200,2,Florence/Firestone,1
06037535200,2,Florence/Firestone,1
06037535200,2,Florence/Firestone,1
06037535400,1,Florence/Firestone,0
06037535400,1,Watts,0
06037535400,1,Florence/Firestone,0
06037535102,1,Florence/Firestone,1
06037535101,2,Florence/Firestone,0
06037535101,2,Florence/Firestone,0
06037600302,0,Athens/Westmont,0
06037600400,1,Athens/Westmont,0
06037600400,1,Athens/Westmont,0
06037600400,1,Athens/Westmont,0
06037600202,2,Athens/Westmont,0
06037600202,2,Athens/Westmont,0
06037600202,2,Athens/Westmont,0
06037240500,2,Green Meadows,0
06037240500,2,Green Meadows,0
06037240500,2,Green Meadows,1
06037240500,2,Green Meadows,1
06037240600,1,Green Meadows,1
06037240600,1,Green Meadows,1
06037240600,1,Green Meadows,1
06037240600,1,Green Meadows,0
06037240700,2,Green Meadows,2
06037240700,2,Green Meadows,1
06037240700,2,Green Meadows,1
06037240700,2,Green Meadows,1
06037240700,2,Green Meadows,1
06037600201,1,Athens/Westmont,0
06037600201,1,Athens/Westmont,0
06037600201,1,Athens/Westmont,0
06037240401,1,Green Meadows,0
06037240401,1,Green Meadows,0
06037240401,1,Green Meadows,0
06037240020,1,Green Meadows,1
06037240020,1,Green Meadows,1
06037240020,1,Green Meadows,1
06037600100,2,Athens/Westmont,0
06037600100,2,Athens/Westmont,0
06037600100,2,Athens/Westmont,0
06037240200,2,Green Meadows,0
06037240200,2,Green Meadows,0
06037240200,2,Green Meadows,0
06037238000,1,South Vermont,0
06037238000,1,South Vermont,0
06037238000,1,South Vermont,0
06037238000,1,South Vermont,0
06037238000,1,South Vermont,0
06037238000,1,South Vermont,1
06037600702,0,Inglewood,1
06037600704,0,Inglewood,0
06037600704,0,Inglewood,1
06037238400,1,South Vermont,0
06037238400,1,South Vermont,0
06037238400,1,South Vermont,0
06037238400,1,South Vermont,0
06037238100,1,South Vermont,0
06037238100,1,South Vermont,0
06037238100,1,South Vermont,0
06037238100,1,South Vermont,0
06037277200,0,Westchester,0
06037277200,0,Westchester,0
06037278001,0,Westchester,1
06037278001,0,Westchester,1
06037601401,1,Inglewood,0
06037277100,0,Westchester,2
06037277100,0,Westchester,1
06037277100,0,Westchester,2
06037276400,0,Westchester,2
06037276400,0,Westchester,1
06037276400,0,Westchester,2
06037276400,0,Westchester,2
06037276400,0,Westchester,2
06037276000,0,Westchester,1
06037276000,0,Westchester,1
06037276000,0,Westchester,2
06037276000,0,Westchester,1
06037276000,0,Westchester,1
06037240010,1,Green Meadows,1
06037240010,1,Green Meadows,0
06037240010,1,Green Meadows,0
06037238320,1,South Vermont,0
06037238320,1,South Vermont,0
06037238320,1,South Vermont,0
06037239702,1,South Park,0
06037239702,1,South Park,1
06037239702,1,South Park,0
06037239702,1,South Park,0
06037239802,1,South Park,0
06037239802,1,South Park,0
06037239802,1,South Park,1
06037239802,1,South Park,1
06037238200,1,South Vermont,0
06037238200,1,South Vermont,0
06037238200,1,South Vermont,0
06037238200,1,South Vermont,0
06037238310,1,South Vermont,0
06037238310,1,South Vermont,0
06037239701,1,South Park,1
06037239701,1,South Park,0
06037239801,1,South Park,0
06037239801,1,South Park,0
06037239801,1,South Park,1
06037237720,1,South Vermont,0
06037237720,1,South Vermont,0
06037239502,1,South Park,0
06037239502,1,South Park,1
06037239502,1,South Park,1
06037600801,0,Inglewood,1
06037600801,0,Inglewood,1
06037600802,0,Inglewood,1
06037237900,1,South Vermont,0
06037237900,1,South Vermont,0
06037237900,1,South Vermont,0
06037237900,1,South Vermont,1
06037235202,1,Crenshaw,0
06037235202,1,Crenshaw,0
06037235202,1,Crenshaw,0
06037235201,0,Crenshaw,0
06037235201,0,Crenshaw,1
06037235201,0,Crenshaw,0
06037600912,1,Inglewood,1
06037600912,1,Inglewood,2
06037237300,1,South Vermont,0
06037237300,1,South Vermont,0
06037237300,1,South Vermont,0
06037237300,1,South Vermont,0
06037237300,1,South Vermont,0
06037237402,1,South Vermont,0
06037237402,1,South Vermont,0
06037237402,1,South Vermont,0
06037234902,1,Crenshaw,0
06037234902,1,Crenshaw,0
06037234902,1,Crenshaw,0
06037234901,1,Crenshaw,0
06037234901,1,Crenshaw,0
06037239602,1,South Park,1
06037239602,1,South Park,0
06037237800,1,South Vermont,1
06037237800,1,South Vermont,0
06037237800,1,South Vermont,0
06037237800,1,South Vermont,0
06037535001,1,Florence/Firestone,0
06037535001,1,Florence/Firestone,0
06037237710,1,South Vermont,0
06037237710,1,South Vermont,0
06037239601,1,South Park,0
06037239601,1,South Park,1
06037239501,1,South Park,0
06037239501,1,South Park,1
06037239501,1,South Park,1
06037237500,1,South Vermont,0
06037237500,1,South Vermont,0
06037237401,1,South Vermont,0
06037237401,1,South Vermont,0
06037237401,1,South Vermont,1
06037237600,1,South Vermont,1
06037237600,1,South Vermont,0
06037237600,1,South Vermont,0
06037237600,1,South Vermont,0
06037239310,1,South Park,0
06037239310,1,South Park,0
06037239310,1,South Park,0
06037276601,0,Westchester,0
06037276601,0,Westchester,2
06037276601,0,Westchester,2
06037276601,0,Westchester,2
06037276500,0,Westchester,2
06037276500,0,Westchester,2
06037274202,0,Venice,0
06037274202,0,Venice,1
06037274202,0,Venice,0
06037274202,0,Venice,0
06037273902,0,Venice,2
06037273902,0,Venice,1
06037273902,0,Venice,0
06037273902,0,Venice,2
06037273902,0,Venice,2
06037273502,0,Venice,0
06037273502,0,Venice,0
06037273502,0,Venice,1
06037273502,0,Venice,2
06037274100,1,Venice,1
06037274100,1,Venice,2
06037601302,2,Inglewood,1
06037277000,0,Westchester,1
06037277000,0,Westchester,2
06037277000,0,Westchester,1
06037277000,0,Westchester,1
06037277000,0,Westchester,2
06037600911,0,Inglewood,1
06037600911,0,Inglewood,2
06037601301,0,Inglewood,2
06037601301,0,Inglewood,1
06037239320,1,South Park,0
06037239320,1,South Park,0
06037239330,0,South Park,1
06037239330,0,South Park,0
06037237101,1,South Vermont,0
06037237101,1,South Vermont,0
06037237101,1,South Vermont,0
06037237101,1,South Vermont,1
06037237101,1,South Vermont,0
06037239202,1,South Park,0
06037239202,1,South Park,0
06037239202,1,South Park,0
06037237102,1,South Vermont,0
06037237102,1,South Vermont,0
06037239201,1,South Park,0
06037239201,1,South Park,0
06037239201,1,South Park,0
06037229410,1,South Park,0
06037229410,1,South Park,0
06037275311,1,Mar Vista,1
06037275311,1,Mar Vista,1
06037275311,1,Mar Vista,1
06037275311,1,Mar Vista,2
06037275400,0,Mar Vista,2
06037275400,0,Mar Vista,0
06037273600,0,Venice,3
06037273600,0,Venice,3
06037273600,0,Venice,2
06037273600,0,Venice,2
06037273800,0,Venice,2
06037273800,0,Venice,1
06037273800,0,Venice,3
06037702803,0,Mar Vista,1
06037702803,0,Culver City,1
06037702803,0,Culver City,0
06037275200,1,Mar Vista,1
06037275200,1,Mar Vista,2
06037275200,1,Mar Vista,1
06037273300,0,Venice,1
06037273300,0,Venice,2
06037273300,0,Venice,2
06037273200,0,Venice,2
06037273200,0,Venice,2
06037273200,0,Venice,3
06037273200,0,Venice,1
06037234800,0,Crenshaw,1
06037234800,0,Crenshaw,0
06037234800,0,Crenshaw,0
06037234800,0,Crenshaw,0
06037237202,1,South Vermont,1
06037237202,1,South Vermont,0
06037237202,1,South Vermont,0
06037237202,1,South Vermont,0
06037235100,1,Crenshaw,1
06037235100,1,Crenshaw,1
06037235100,1,Crenshaw,1
06037235100,1,Crenshaw,1
06037237201,0,South Vermont,0
06037237201,0,South Vermont,1
06037237201,0,South Vermont,1
06037234700,1,Crenshaw,0
06037234700,1,Crenshaw,0
06037234700,1,Crenshaw,0
06037234700,1,Crenshaw,0
06037232500,1,Vermont Square,0
06037232500,1,Vermont Square,1
06037232500,1,Vermont Square,0
06037232500,1,Vermont Square,1
06037234600,1,Crenshaw,0
06037234600,1,Crenshaw,0
06037234600,1,Crenshaw,1
06037234600,1,Crenshaw,0
06037234501,0,Crenshaw,1
06037234501,0,Crenshaw,1
06037703200,1,View Park/Windsor Hills,1
06037703200,1,View Park/Windsor Hills,2
06037703200,1,View Park/Windsor Hills,1
06037703200,1,View Park/Windsor Hills,2
06037275603,0,Barnes City,1
06037275603,0,Barnes City,1
06037275603,0,Barnes City,2
06037703002,1,Ladera Heights,1
06037703002,1,Ladera Heights,0
06037703002,1,Ladera Heights,1
06037275500,1,Barnes City,1
06037275500,1,Barnes City,2
06037275500,1,Barnes City,1
06037275500,1,Barnes City,1
06037703100,1,View Park/Windsor Hills,2
06037703100,1,View Park/Windsor Hills,2
06037703100,1,View Park/Windsor Hills,1
06037703100,1,View Park/Windsor Hills,0
06037702600,1,Culver City,2
06037702600,1,Culver City,1
06037275102,1,Barnes City,2
06037275102,1,Barnes City,2
06037275101,0,Barnes City,1
06037702802,0,Culver City,2
06037702802,0,Culver City,2
06037702700,0,Culver City,2
06037702700,0,Culver City,2
06037702700,0,Culver City,2
06037232800,1,Vermont Square,0
06037232800,1,Vermont Square,0
06037229420,1,South Park,0
06037229420,1,South Park,1
06037232300,1,Vermont Square,1
06037232300,1,Vermont Square,0
06037232300,1,Vermont Square,0
06037229300,2,South Park,0
06037229300,2,South Park,1
06037229300,2,South Park,0
06037229200,1,South Park,1
06037229200,1,South Park,1
06037228710,1,South Park,1
06037228710,1,South Park,1
06037232110,1,Vermont Square,0
06037232110,1,Vermont Square,0
06037232120,1,Vermont Square,1
06037232120,1,Vermont Square,0
06037232120,1,Vermont Square,0
06037272202,0,Mar Vista,0
06037272202,0,Mar Vista,2
06037273700,0,Venice,3
06037273700,0,Venice,3
06037273700,0,Venice,2
06037702102,1,Santa Monica,1
06037702102,1,Santa Monica,2
06037702102,1,Santa Monica,2
06037702102,1,Santa Monica,2
06037272201,0,Mar Vista,1
06037272201,0,Mar Vista,1
06037272302,1,Mar Vista,2
06037272302,1,Mar Vista,1
06037273100,0,Venice,2
06037273100,0,Venice,2
06037273100,0,Venice,3
06037272100,0,Mar Vista,2
06037272100,0,Mar Vista,2
06037272100,0,Mar Vista,2
06037272100,0,Mar Vista,2
06037272100,0,Mar Vista,3
06037272301,0,Mar Vista,2
06037272301,0,Mar Vista,2
06037272301,0,Mar Vista,2
06037702202,0,Santa Monica,2
06037702202,0,Santa Monica,3
06037232200,1,Vermont Square,1
06037232200,1,Vermont Square,1
06037232200,1,Vermont Square,0
06037228500,1,South Park,0
06037228500,1,South Park,0
06037228500,1,South Park,1
06037228600,1,South Park,0
06037228600,1,South Park,0
06037231710,1,Vermont Square,1
06037231710,1,Vermont Square,1
06037231710,1,Vermont Square,0
06037231720,1,Vermont Square,0
06037231720,1,Vermont Square,0
06037231720,1,Vermont Square,1
06037231800,1,Vermont Square,0
06037231800,1,Vermont Square,0
06037231800,1,Vermont Square,0
06037228420,0,South Park,1
06037228420,0,South Park,0
06037228320,0,South Park,2
06037228320,0,South Park,1
06037228320,0,South Park,1
06037234502,0,Crenshaw,0
06037234502,0,Crenshaw,1
06037234502,0,Crenshaw,1
06037236400,0,Crenshaw,1
06037236400,0,Crenshaw,2
06037236400,0,Crenshaw,2
06037231500,1,Vermont Square,0
06037231500,1,Vermont Square,0
06037231500,1,Vermont Square,0
06037702801,1,Culver City,1
06037702502,0,Culver City,1
06037702501,0,Culver City,1
06037271801,0,Mar Vista,2
06037271801,0,Mar Vista,2
06037271801,0,Mar Vista,0
06037269903,0,Palms,0
06037231400,1,West Adams/Exposition Park,1
06037231400,1,West Adams/Exposition Park,1
06037231400,1,West Adams/Exposition Park,0
06037236204,1,Crenshaw,1
06037236204,1,Crenshaw,1
06037234200,0,Crenshaw,1
06037234200,0,Crenshaw,1
06037234200,0,Crenshaw,0
06037236203,1,Crenshaw,1
06037236203,1,Crenshaw,1
06037219500,0,Adams/La Brea,1
06037219500,0,Adams/La Brea,1
06037222500,1,West Adams/Exposition Park,1
06037222500,1,West Adams/Exposition Park,1
06037222500,1,West Adams/Exposition Park,1
06037228310,1,South Park,0
06037228310,1,South Park,1
06037228310,1,South Park,1
06037228310,1,South Park,1
06037228410,0,South Park,1
06037228410,0,South Park,0
06037228410,0,South Park,1
06037231220,1,West Adams/Exposition Park,1
06037231220,1,West Adams/Exposition Park,1
06037231210,1,West Adams/Exposition Park,0
06037231210,1,West Adams/Exposition Park,1
06037231100,1,Vermont Square,1
06037231100,1,Vermont Square,0
06037231100,1,Vermont Square,0
06037222700,0,West Adams/Exposition Park,2
06037226420,1,South Park,1
06037226420,1,South Park,0
06037226420,1,South Park,1
06037222600,1,West Adams/Exposition Park,2
06037222600,1,West Adams/Exposition Park,1
06037222600,1,West Adams/Exposition Park,1
06037532900,2,Florence/Firestone,1
06037532900,2,Florence/Firestone,0
06037532700,0,Florence/Firestone,0
06037532800,1,Florence/Firestone,0
06037228900,1,South Park,1
06037228900,1,South Park,0
06037229100,1,South Park,1
06037229100,1,South Park,1
06037228800,2,South Park,0
06037228800,2,South Park,0
06037228800,2,South Park,1
06037228800,2,South Park,1
06037228720,1,South Park,1
06037228720,1,South Park,1
06037228720,1,South Park,1
06037228220,1,South Park,1
06037228220,1,South Park,1
06037228220,1,South Park,0
06037228100,1,South Park,0
06037228100,1,South Park,1
06037228100,1,South Park,1
06037228210,1,South Park,1
06037228210,1,South Park,1
06037227020,1,South Park,0
06037227020,1,South Park,1
06037204920,0,Boyle Heights,0
06037204920,0,Boyle Heights,0
06037532302,1,Commerce,0
06037531302,2,East Los Angeles,0
06037531302,2,East Los Angeles,0
06037531301,1,East Los Angeles,0
06037531202,1,East Los Angeles,0
06037227010,1,South Park,0
06037227010,1,South Park,1
06037205120,1,Boyle Heights,0
06037205120,1,Boyle Heights,0
06037204820,0,Boyle Heights,1
06037204820,0,Boyle Heights,0
06037205110,1,Boyle Heights,2
06037226001,0,South Park,0
06037226001,0,South Park,0
06037204910,1,Boyle Heights,0
06037204810,1,Boyle Heights,0
06037204810,1,Boyle Heights,0
06037204810,1,Boyle Heights,1
06037206050,0,Wholesale,0
06037204700,1,Boyle Heights,1
06037204700,1,Boyle Heights,1
06037204700,1,Boyle Heights,0
06037226002,1,Downtown,0
06037226002,1,Downtown,0
06037204120,0,Boyle Heights,1
06037204120,0,Boyle Heights,0
06037203900,1,Boyle Heights,0
06037203900,1,Boyle Heights,0
06037203900,1,Boyle Heights,0
06037204600,1,Boyle Heights,2
06037204600,1,Boyle Heights,0
06037204300,1,Boyle Heights,1
06037204300,1,Boyle Heights,1
06037204300,1,Boyle Heights,0
06037204300,1,Boyle Heights,1
06037204110,0,Boyle Heights,1
06037204110,0,Boyle Heights,0
06037204110,0,Boyle Heights,0
06037204200,1,Boyle Heights,0
06037204200,1,Boyle Heights,0
06037269905,0,Culver City,0
06037269905,0,Palms,0
06037220100,0,Adams/La Brea,1
06037220100,0,Adams/La Brea,0
06037220100,0,Adams/La Brea,1
06037269906,0,Palms,1
06037702400,0,Culver City,2
06037702400,0,Culver City,1
06037702400,0,Culver City,2
06037702400,0,Culver City,0
06037702400,0,Culver City,1
06037269907,0,Palms,1
06037219901,1,Adams/La Brea,1
06037219901,1,Adams/La Brea,1
06037219901,1,Adams/La Brea,1
06037222002,1,West Adams/Exposition Park,0
06037222002,1,West Adams/Exposition Park,1
06037222002,1,West Adams/Exposition Park,1
06037222002,1,West Adams/Exposition Park,1
06037219020,1,West Adams/Exposition Park,1
06037219020,1,West Adams/Exposition Park,0
06037219020,1,West Adams/Exposition Park,0
06037219300,1,Adams/La Brea,0
06037219300,1,Adams/La Brea,0
06037219300,1,Adams/La Brea,0
06037222100,1,West Adams/Exposition Park,1
06037222100,1,West Adams/Exposition Park,1
06037222100,1,West Adams/Exposition Park,1
06037219010,0,West Adams/Exposition Park,1
06037219010,0,West Adams/Exposition Park,1
06037220000,1,Adams/La Brea,1
06037220000,1,Adams/La Brea,1
06037220000,1,Adams/La Brea,1
06037220000,1,Adams/La Brea,1
06037220000,1,Adams/La Brea,0
06037219700,1,Adams/La Brea,1
06037219700,1,Adams/La Brea,1
06037219700,1,Adams/La Brea,1
06037222001,0,West Adams/Exposition Park,1
06037222001,0,West Adams/Exposition Park,1
06037222200,1,West Adams/Exposition Park,2
06037222200,1,West Adams/Exposition Park,1
06037218702,0,West Adams/Exposition Park,1
06037218702,0,West Adams/Exposition Park,1
06037224600,1,South Park,0
06037224600,1,South Park,0
06037226410,1,South Park,0
06037226410,1,South Park,0
06037221900,1,West Adams/Exposition Park,1
06037221900,1,West Adams/Exposition Park,1
06037221820,0,West Adams/Exposition Park,2
06037221820,0,West Adams/Exposition Park,2
06037221810,0,West Adams/Exposition Park,1
06037221810,0,West Adams/Exposition Park,1
06037224020,1,South Park,0
06037224020,1,South Park,0
06037224420,0,Westlake,2
06037224420,0,Westlake,1
06037224410,0,Westlake,1
06037224410,0,Westlake,1
06037271200,0,West LA,1
06037271200,0,West LA,1
06037701701,0,Santa Monica,2
06037271100,0,West LA,2
06037271100,0,West LA,2
06037271100,0,West LA,3
06037267600,0,West LA,0
06037267600,0,West LA,2
06037267600,0,West LA,0
06037701602,1,Santa Monica,1
06037267502,0,West LA,2
06037267502,0,West LA,1
06037267700,0,West LA,0
06037267700,0,West LA,0
06037701601,0,Santa Monica,3
06037267800,0,West LA,2
06037267800,0,West LA,1
06037267800,0,West LA,2
06037219800,0,Adams/La Brea,1
06037219800,0,Adams/La Brea,1
06037219800,0,Adams/La Brea,1
06037219902,1,Adams/La Brea,0
06037219902,1,Adams/La Brea,1
06037219902,1,Adams/La Brea,1
06037270200,0,Palms,1
06037270200,0,Palms,1
06037270200,0,Palms,1
06037269800,0,Palms,1
06037269800,0,Palms,2
06037269700,0,Palms,2
06037269700,0,Palms,2
06037269700,0,Palms,2
06037269700,0,Palms,1
06037218400,1,Adams/La Brea,1
06037218400,1,Adams/La Brea,1
06037218400,1,Adams/La Brea,1
06037218400,1,Adams/La Brea,0
06037270300,0,Palms,1
06037270300,0,Palms,0
06037270300,0,Palms,0
06037269300,0,Palms,3
06037269300,0,Palms,3
06037269300,0,Palms,3
06037269300,0,Palms,3
06037269300,0,Palms,2
06037218300,1,Adams/La Brea,1
06037218300,1,Adams/La Brea,1
06037218300,1,Adams/La Brea,1
06037218300,1,Adams/La Brea,0
06037218300,1,Adams/La Brea,1
06037269601,0,Palms,0
06037269601,0,Palms,0
06037269601,0,Palms,0
06037218900,1,West Adams/Exposition Park,1
06037218900,1,West Adams/Exposition Park,1
06037218900,1,West Adams/Exposition Park,2
06037221401,1,West Adams/Exposition Park,2
06037221401,1,West Adams/Exposition Park,2
06037221500,1,West Adams/Exposition Park,1
06037221500,1,West Adams/Exposition Park,1
06037218600,0,Adams/La Brea,1
06037218600,0,Adams/La Brea,1
06037218600,0,Adams/La Brea,0
06037218701,0,West Adams/Exposition Park,2
06037218701,0,West Adams/Exposition Park,0
06037218800,0,West Adams/Exposition Park,0
06037218800,0,West Adams/Exposition Park,1
06037218500,0,Adams/La Brea,1
06037218500,0,Adams/La Brea,1
06037221402,0,West Adams/Exposition Park,1
06037221402,0,West Adams/Exposition Park,1
06037221302,1,West Adams/Exposition Park,1
06037221302,1,West Adams/Exposition Park,1
06037218210,1,Adams/La Brea,0
06037218210,1,Adams/La Brea,0
06037218210,1,Adams/La Brea,1
06037221710,0,West Adams/Exposition Park,1
06037221710,0,West Adams/Exposition Park,1
06037221601,1,West Adams/Exposition Park,1
06037221601,1,West Adams/Exposition Park,1
06037224010,1,Downtown,0
06037224010,1,Downtown,0
06037221602,0,West Adams/Exposition Park,0
06037221602,0,West Adams/Exposition Park,0
06037221602,0,West Adams/Exposition Park,0
06037224200,0,Westlake,0
06037224200,0,Westlake,0
06037224320,1,Westlake,1
06037224320,1,Westlake,1
06037221120,1,West Adams/Exposition Park,1
06037221120,1,West Adams/Exposition Park,0
06037269500,0,Palms,3
06037269500,0,Palms,3
06037269500,0,Palms,3
06037269500,0,Palms,3
06037269602,0,Palms,1
06037269602,0,Palms,2
06037269000,0,Palms,2
06037269000,0,Palms,3
06037269000,0,Palms,3
06037269000,0,Palms,2
06037269000,0,Palms,3
06037216700,0,Miracle Mile,1
06037216700,0,Miracle Mile,1
06037216700,0,Miracle Mile,1
06037217002,1,Miracle Mile,2
06037217002,1,Miracle Mile,1
06037217002,1,Miracle Mile,1
06037217001,0,Miracle Mile,1
06037217001,0,Miracle Mile,2
06037217001,0,Miracle Mile,1
06037269100,1,Palms,1
06037269100,1,Palms,1
06037269100,1,Palms,1
06037269100,1,Palms,2
06037224310,0,Westlake,1
